gene	score	LFC	PVAL
hsp70l	-107.32442042716927	3.688604661	1.26e-60
egln3	-59.65840791641634	2.897940781	1.78e-137
ppp1r15a	-52.8492672948681	2.761872567	9.34e-130
prss59.2	-37.10688011738975	2.409219425	5e-25
pim2	-36.91049066898738	2.404392748	2.6e-100
fam46ba	-32.3148909920553	2.287586623	0.0
try	-28.41529962491569	2.18186077	1.09e-20
ctrb1	-28.200253278303272	2.175828383	1.1e-17
ctrb1	-28.200253278303272	2.175828383	1.1e-17
opn1sw1	-26.704316568281218	2.133222446	5.16e-24
si:dkey-85k7.7	-26.390166542237544	2.12412706	4.48e-127
abcf2a	-23.39096280346811	2.034458803	1.17e-57
hsp70.3	-20.309923027142297	1.936245699	9.38e-19
hsp70.2	-19.417773051114008	1.906463813	3e-12
cited2	-19.03411428442084	1.893450968	1.66e-52
zgc:112160	-18.669352554663476	1.880959625	9.81e-13
ankrd37	-18.283018662383316	1.867598788	2.61e-17
rho	-16.72109895549743	1.812122006	6.61e-12
cbfa2t2	-16.701860128439712	1.811423264	3.31e-14
opn1lw2	-15.677772688748375	1.7736455	5.53e-13
opn1mw1	-15.515724510045876	1.767558803	7.84e-13
mknk2b	-13.39737277637254	1.684949124	1.03e-124
CELA1 (1 of 7)	-12.80759706488727	1.660840485	3.63e-10
KLF16	-12.208716481136877	1.635803678	3.19e-40
chia.2	-12.066645825310966	1.62977777	1.84e-09
dusp4	-11.971455088842193	1.625721093	9.53e-12
irs2a	-11.597150052611509	1.609616642	2.22e-13
stk35	-11.263012010834549	1.595027405	1.8e-13
exosc6	-10.04395254916321	1.539948463	4.33e-10
pfkfb3	-9.892282431306809	1.532876257	1.15e-13
cpb1	-9.85742023382022	1.531243322	3.5e-08
txnipa	-9.73643453697917	1.52555493	4.26e-215
arrdc3b	-9.444417435098698	1.511684085	1.05e-29
ctrl	-9.410508443443378	1.510060137	8.4e-08
wsb1	-9.139906726281916	1.496999625	9.8e-65
rbm12	-9.036405111079505	1.491955406	1.6e-20
tbx16	-8.95862542871115	1.488146597	2.91e-15
ela3l	-8.83333308697498	1.481977734	1.23e-07
mat2aa	-8.011838642941969	1.440453628	3.62e-57
si:ch211-195b15.8	-7.374151909616851	1.40680721	1.09e-08
AC024175.18	-6.919719698561236	1.381983363	2.21e-24
ttnb	-6.905962950890542	1.381220093	9.92e-25
g3bp1	-6.762008942419252	1.373189738	5.76e-61
prmt6	-6.617125703291979	1.365025787	3.96e-07
zic2b	-6.394898875686529	1.352339493	8.42e-51
btg3	-6.352759154174938	1.349910644	7.29e-25
ela2	-6.24752748539238	1.343810533	2.76e-06
cpa5	-6.124054273502042	1.33659401	1.65e-06
paics	-5.936856565151406	0.031291138	0.658930086
cst14b.1	-5.823685722432332	0.039119197	0.625308086
apoda.2	-5.788550785052225	1.31663099	4.85e-06
AC024175.17	-5.761505941924098	0.041407084	0.62628909
prss59.1	-5.748645232592361	1.314222769	2.33e-06
ddit4	-5.685229178549683	1.310378704	1.26e-20
pprc1	-5.68423671108391	1.310318365	4.32e-17
hspa4a	-5.654577673458165	1.308512922	1.82e-11
ela2l	-5.591462948632101	1.304652729	6.12e-06
mcl1b	-5.453632880547087	1.296163123	1.31e-41
cnbpa	-5.340598505692047	0.050135502	0.624135046
id1	-5.332803868336688	0.050419963	0.623502311
ahcy	-5.332252477423902	0.046507078	0.602724605
tnnt2c	-5.292548103778921	0.037683282	0.659212144
eif3ba	-5.193193258059169	0.042799802	0.596011107
ipo7	-5.144385689175133	0.053909837	0.621055465
pbx4	-5.130197191325504	0.054182149	0.596615302
rps9	-5.119165316812701	0.024510412	0.593324496
cldni	-5.0878007544799155	0.053945465	0.623345879
si:ch211-209l18.4	-5.0863637041837215	1.273029512	7.69e-06
pck1	-5.0213489792162935	1.26886003	2.4e-13
